Pixel at 5614,0: no province for rgb 1,222,200; neighbors are [Sea of Antarctica (51,221,251), Sea of Antarctica (51,221,251), Sea of Antarctica (51,221,251)]
Pixel at 5615,0: no province for rgb 1,222,200; neighbors are [Sea of Antarctica (51,221,251)]
Pixel at 5615,1: no province for rgb 1,222,200; neighbors are [Sea of Antarctica (51,221,251), Sea of Antarctica (51,221,251), Sea of Antarctica (51,221,251)]
Pixel at 1277,223: no province for rgb 106,250,250; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
Pixel at 1278,223: no province for rgb 96,225,225; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
Pixel at 1279,223: no province for rgb 87,205,205; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
Pixel at 1280,223: no province for rgb 105,247,247; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
Pixel at 1277,224: no province for rgb 98,230,230; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
Pixel at 1278,224: no province for rgb 61,144,144; neighbors are []
Pixel at 1279,224: no province for rgb 44,105,105; neighbors are []
Pixel at 1280,224: no province for rgb 88,206,206; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
Pixel at 1277,225: no province for rgb 104,244,244; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
Pixel at 1278,225: no province for rgb 85,199,199; neighbors are []
Pixel at 1279,225: no province for rgb 72,170,170; neighbors are []
Pixel at 1280,225: no province for rgb 100,235,235; neighbors are [Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253), Southern Pacific #24 (108,253,253)]
